Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Plain Text,texts/5421.txt,5421.txt,1,1,0,0,0,7,0
Plain Text,texts/5422.txt,5422.txt,1,1,0,0,0,5,0
Plain Text,texts/5423.txt,5423.txt,1,1,0,0,0,10,0
Plain Text,texts/5424.txt,5424.txt,1,1,0,0,0,6,0
Plain Text,texts/5425.txt,5425.txt,1,1,0,0,0,6,0
Plain Text,texts/5426.txt,5426.txt,1,1,0,0,0,6,0
Plain Text,texts/5427.txt,5427.txt,1,1,0,0,0,4,0
Plain Text,texts/5428.txt,5428.txt,1,1,0,0,0,22,0
Plain Text,texts/5429.txt,5429.txt,1,1,0,0,0,2,0
SVG,shapes/5430.svg,5430.svg,6,6,0,0,0,432,0
SVG,shapes/5431.svg,5431.svg,6,6,0,0,0,432,0
SVG,shapes/5432.svg,5432.svg,6,6,0,0,0,432,0
SVG,shapes/5434.svg,5434.svg,10,10,0,0,0,1148,0
Plain Text,texts/5435.txt,5435.txt,1,1,0,0,0,10,0
Plain Text,texts/5436.txt,5436.txt,1,1,0,0,0,10,0
Plain Text,texts/5437.txt,5437.txt,1,1,0,0,0,1,0
Plain Text,texts/5438.txt,5438.txt,1,1,0,0,0,1,0
SVG,shapes/5439.svg,5439.svg,8,8,0,0,0,844,0
SVG,shapes/544.svg,544.svg,6,6,0,0,0,555,0
Plain Text,texts/5440.txt,5440.txt,1,1,0,0,0,16,0
Plain Text,texts/5441.txt,5441.txt,1,1,0,0,0,6,0
SVG,shapes/5443.svg,5443.svg,7,7,0,0,0,691,0
Plain Text,texts/5444.txt,5444.txt,1,1,0,0,0,5,0
Plain Text,texts/5445.txt,5445.txt,1,1,0,0,0,5,0
Plain Text,texts/5446.txt,5446.txt,1,1,0,0,0,2,0
Plain Text,texts/5447.txt,5447.txt,1,1,0,0,0,5,0
Plain Text,texts/5448.txt,5448.txt,1,1,0,0,0,38,0
Plain Text,texts/5449.txt,5449.txt,1,1,0,0,0,16,0
SVG,shapes/545.svg,545.svg,7,7,0,0,0,961,0
Plain Text,texts/5450.txt,5450.txt,1,1,0,0,0,49,0
Plain Text,texts/5451.txt,5451.txt,0,0,0,0,0,0,0
Plain Text,texts/5452.txt,5452.txt,1,1,0,0,0,52,0
Plain Text,texts/5453.txt,5453.txt,1,1,0,0,0,16,0
Plain Text,texts/5454.txt,5454.txt,1,1,0,0,0,9,0
Plain Text,texts/5455.txt,5455.txt,1,1,0,0,0,5,0
SVG,shapes/5456.svg,5456.svg,6,6,0,0,0,2657,0
Plain Text,texts/5458.txt,5458.txt,1,1,0,0,0,51,0
Plain Text,texts/5459.txt,5459.txt,0,0,0,0,0,0,0
SVG,shapes/546.svg,546.svg,7,7,0,0,0,850,0
Plain Text,texts/5460.txt,5460.txt,1,1,0,0,0,14,0
Plain Text,texts/5461.txt,5461.txt,1,1,0,0,0,28,0
Plain Text,texts/5462.txt,5462.txt,1,1,0,0,0,25,0
Plain Text,texts/5463.txt,5463.txt,1,1,0,0,0,5,0
Plain Text,texts/5465.txt,5465.txt,1,1,0,0,0,45,0
Plain Text,texts/5468.txt,5468.txt,1,1,0,0,0,13,0
Plain Text,texts/5469.txt,5469.txt,1,1,0,0,0,47,0
